GFR,LFR,Temp,CO2alpha,CO2pp,Height,kGa,eta
781.9789999999999,6.898000000000001,54.305,0.266,10.088,24.6,0.9661864716575219,0.9939721395300728
936.722,6.757999999999999,65.174,0.311,18.322,13.300000000000002,0.31991738578277773,0.5210785126521631
576.451,9.334,45.76,0.314,7.915,11.0,1.8454192335284783,0.774605391929454
110.03500000000001,6.695999999999999,70.925,0.329,18.772,20.9,0.4936903025259812,0.762325507988252
190.018,8.086,57.669,0.164,13.611,21.9,0.6042954481736791,0.8673694804290026
772.875,3.6859999999999995,67.627,0.07,1.9629999999999996,7.200000000000001,0.08571565121497077,0.47381115718168576
530.913,7.189,61.528,0.12400000000000001,18.011,11.7,0.3653662779604371,0.5140589984530269
724.767,8.671,48.781,0.05000000000000002,11.208,29.099999999999998,0.9551334621116282,0.9995161516773502
769.469,3.215,51.069,0.38600000000000007,7.238,29.6,0.19106439568715877,0.6815212164526723
301.258,7.106999999999999,68.418,0.177,12.635,29.900000000000002,0.719835392131216,0.9968838707747267
281.288,2.6370000000000005,67.014,0.345,19.59,25.4,1.9491454885375927,0.9999969532015043
179.72899999999996,4.758,44.117,0.43399999999999994,13.75,15.799999999999999,0.7719963744451714,0.7243435761975958
931.31,4.731,52.661,0.318,10.844,18.0,0.6297831942883825,0.7432882471403555
284.404,8.832,67.867,0.061000000000000006,13.466,29.7,0.5836018189093044,0.986880910468993
247.741,6.335,57.788,0.429,1.0809999999999995,10.4,1.1121237707325784,0.6050412511522774
336.428,8.11,40.458,0.262,2.4,17.8,1.9772193664622948,0.996225002054051
589.912,4.845,79.71,0.043999999999999984,11.047,5.5,0.6745607149580937,0.4862975668238726
601.169,4.981,73.932,0.309,4.726,23.4,0.440493397237331,0.8022711440785351
112.632,9.478,53.97,0.101,17.466,26.7,0.1643051312459473,0.6002572348815971
694.85,5.983,79.252,0.012000000000000018,1.9339999999999997,20.6,0.9638335584045494,0.9587438027912483
716.817,6.0,58.144,0.148,14.516,22.0,0.690076404992261,0.9118137661650964
342.59,6.578,64.438,0.38699999999999996,6.235,26.2,1.0239182832210112,0.9984015000378956
985.535,9.318,70.47,0.4119999999999999,2.8949999999999996,26.2,2.4462783971256576,0.9999999739984833
833.26,3.835,43.737,0.211,18.261,13.7,1.5170326105805085,0.8613290226866881
384.30300000000005,6.593,59.914,0.09299999999999999,17.715,26.9,0.5418236182330187,0.9507556046795149
323.441,4.469,78.528,0.235,11.897,7.8999999999999995,0.7152048965673643,0.508551401792694
562.444,9.205,50.348,0.115,3.6080000000000005,12.3,2.289952647441076,0.921876873764905
277.489,6.54,76.441,0.336,2.2780000000000005,25.2,1.1757378119204722,0.9990241631196737
460.75500000000005,8.291,52.077,0.43,1.4309999999999998,7.5,2.2231962413673862,0.6123706747322006
741.716,9.6,44.624,0.41899999999999993,12.13,6.500000000000001,0.8017295022461511,0.49815760908634277
831.481,6.971,75.606,0.138,9.868,19.4,1.004142538184253,0.9430309029416554
703.05,3.2309999999999994,73.496,0.357,18.883,21.1,1.9432073696790961,0.9997437970270849
245.41499999999996,7.807,66.296,0.22800000000000004,15.593000000000002,7.6,0.4508730728981859,0.491109778746988
298.984,5.713,74.252,0.088,16.364,19.1,0.6725491197286795,0.8084443166707765
784.9179999999999,4.091,44.836,0.155,11.801,15.1,0.6797605283630455,0.660696048290536
393.313,3.6609999999999996,45.107,0.346,2.6480000000000006,22.199999999999996,0.1865266513032368,0.5642211057801116
845.4060000000001,9.124,50.602,0.34,14.474,21.7,0.35882243340719205,0.6841607554676634
520.865,3.364,74.443,0.305,2.8000000000000003,12.5,0.10439141904430171,0.4829363660741264
688.19,3.8029999999999995,75.311,0.212,6.77,11.5,0.24094656203261894,0.4963096702690977
231.40500000000003,2.0630000000000006,46.028,0.175,19.355,25.1,1.9868767209013483,0.9999967484250902
488.48199999999997,6.912,76.638,0.4,7.804999999999999,17.5,1.1081646598023283,0.9162867658760218
780.798,7.579,72.557,0.24099999999999996,19.855,29.4,0.1344417713657711,0.5988649936911137
242.917,9.985,45.93,0.256,4.443,10.4,2.3050607973041655,0.8142336335118223
206.325,5.11,64.717,0.43300000000000005,2.5619999999999994,20.1,0.6772276620702744,0.8474801548149551
332.363,4.65,77.385,0.109,18.064,6.800000000000001,0.9241708316913682,0.5066539110389853
167.716,5.684,65.989,0.326,3.7270000000000003,7.8,0.9332333406787303,0.5212835892289434
